name,line
Gook,What. A pair of sleeping skulls?
Deridovely,"Hehe, I win again! No hard feelings, right?"
Gook,"Hey there, Ryuk, would it kill you to join us? You should come play with us for a change!"
Ryuk,"No, I'll pass."
,Light's classroom
English teacher,Listen for the voice of God then follow it and know that in time you will find your salvation.
Talking Girl 1,"I know, I didn't even do anything wrong! He just totally snapped at me!"
Talking Girl 2,Really?
Teacher,"Yagami, are you still with us? Can you please translate the following sentence into English?"
Light,[Sigh] Follow the teachings of God and receive his blessings and so it shall be that the seas will again become bountiful and the raging storms will subside.
,"News are being broadcasted, then Light is shown walking home."
Newscaster,"Today, at approximately 11 am a 32-year-old man was found stabbed to death in his apartment in the city of Yokohama Karigara Prefecture. Karigawa police are treating this case as a homicide."
Newscaster 2,"In other news, today, suspected murderer Naoki Tokuji was arrested in the district of Shibuya Tokyo. He is being held in custody facing murder charges for the brutal slaying of his common-law partner, who was only 25 at the time of death."
Light,"Day in and day out, the same news on permanent repeat."
Ryuk,This is all so ridiculous.
Light,This world is…
Ryuk,Rotten.
,Next day at school
Teacher,Another noticeable consequence is the extinction of many species on the planet. Species are now becoming extinct at a faster rate than has ever occurred in our recorded history.
Chatting boy,No way! You paged [unintelligible]
,"Death Note falls from the sky, indistinct chattering of students. Light notices and walks outside to pick it up."
Light,"Death Note? As in a notebook of death? Hmm. How to use it: the human whose name is written in this notebook… shall die! Hmm. It's pretty lame, not to mention twisted. It's really not that different from one of those chain letters you get. A human whose name is written in this notebook shall die? Come on."
,Train whistle
Light,"There must be something wrong with me to even consider it. This note will not take effect unless the writer has the person's face in their mind when writing his or her name. Therefore, people sharing the same name will not be affected. If the cause of death is written within 40 seconds of writing the person's name, it will happen. If the cause of death is not specified, the person will simply die of a heart attack. After writing the cause of death, details of the death should be written in the next 6 minutes and 40 seconds. Hmm, so depending on the person you have in mind you can either kill them easily or painfully, huh. This is pretty detailed for a prank, I'll give them that. Hmm… so I write a name and that person… dies. Like anyone would believe that. Ugh! Wait, on the off chance someone really dies, would that make me a murderer? Yeah right, it's completely impossible."
Newscaster 3,"The same assailant who attacked 6 people at a busy shopping district in Sinjuku yesterday has struck again, taking 8 people hostage at this daycare center. His captives include both children and teachers. The police have now identified the suspect as 42-year-old Kuro Otoharada, currently unemployed. We expect negotiations to begin immediately."
,Light writes the name of the suspect.
Light,"Hmm, a heart attack in 40 seconds? We'll see."
Newscaster 3,"At the present time, that's all the police are telling us."
Newscaster 4,You can't help but feel concerned for the safety of those hostages.
Newscaster 3,You're absolutely right. We'll continue to monitor the situation from here.
Newscaster 4,"Thank you for that report. What do you make of this, Mr. Hashimoto?"
Mr. Hashimoto,"Well, one can only hope for a quick resolution to this situation."
Light,"Looks like the notebook doesn't work. Oh well, I didn't expect it to anyway."
Newscaster 4,"Wait, we're seeing something here! Looks like there's movement at the front entrance!"
Newscaster 3,"The hostages are coming out, and they all look to be unharmed! The Special Forces are taking action; they're moving in! We don't know if the suspect's been arrested. Huh? Yes? Ok, we now have confirmation. The suspect has been found dead inside! I repeat, the suspect is now dead!"
Light,Dead?
Newscaster 3,The Special Forces are denying allegations that they shot the suspect.
Newscaster 4,"So, it's quite possible he was feeling cornered and decided to commit suicide?"
Newscaster 3,"Well, according to statements from hostages the suspect just suddenly collapsed."
Light,A heart attack? No way! It's coincidence! This has to be a coincidence!
Sachiko,"Light! It's already 6:30, you know! Don't you have cram school tonight?"
Light,"Yeah, I'll be ready in just a sec. The Death Note, it's unlikely, but if by chance this thing is for real, I have to test it one more time. In which case, it should probably be another criminal. But if he's too well-known, that will be a problem. If he dies, there's a good possibility that news of his death will be covered up. I need to see results right away."
,Classroom
Sudou,"Hey, Ryo buddy."
Ryo,"What is it, Sudou?"
Sudou,Didn't you want to lend me 20 dollars?
Ryo,"What, again? But I can't do that."
Light,Sudou…
Sudou,You can't…
Light,"Maybe I should try killing him. No, I should definitely avoid killing people I know. Then again, does it even really matter? I mean, would anyone really care if I guy like him was to disappear one day?"
Sudou,"Sweet, looks like we'll be hanging at the arcade after school."
,Street
Random Street Girl 1,"We're having a speed dating party tomorrow, you wanna come?"
Random Street Girl 2,"Yeah, of course."
Random Street Girl 3,"Oh yeah, there's no way I'm missing that."
Ryo,"Dammit, why is my mom so useless! She's never here to pick me up on time!"
Light,"Once you actually start looking around, it makes you wonder if you'd be doing society a favor by getting rid of all these people."
Takuo,"Hey baby, where you going? Come have a little fun with us!"
